raceId,year,circuitId,race_name
337,2010,3,Bahrain Grand Prix
338,2010,1,Australian Grand Prix
339,2010,2,Malaysian Grand Prix
340,2010,17,Chinese Grand Prix
341,2010,4,Spanish Grand Prix
342,2010,6,Monaco Grand Prix
343,2010,5,Turkish Grand Prix
344,2010,7,Canadian Grand Prix
345,2010,12,European Grand Prix
346,2010,9,British Grand Prix
347,2010,10,German Grand Prix
348,2010,11,Hungarian Grand Prix
349,2010,13,Belgian Grand Prix
350,2010,14,Italian Grand Prix
351,2010,15,Singapore Grand Prix
352,2010,22,Japanese Grand Prix
353,2010,35,Korean Grand Prix
354,2010,18,Brazilian Grand Prix
355,2010,24,Abu Dhabi Grand Prix
841,2011,1,Australian Grand Prix
842,2011,2,Malaysian Grand Prix
843,2011,17,Chinese Grand Prix
844,2011,5,Turkish Grand Prix
845,2011,4,Spanish Grand Prix
846,2011,6,Monaco Grand Prix
847,2011,7,Canadian Grand Prix
848,2011,12,European Grand Prix
849,2011,9,British Grand Prix
850,2011,20,German Grand Prix
851,2011,11,Hungarian Grand Prix
852,2011,13,Belgian Grand Prix
853,2011,14,Italian Grand Prix
854,2011,15,Singapore Grand Prix
855,2011,22,Japanese Grand Prix
856,2011,35,Korean Grand Prix
857,2011,68,Indian Grand Prix
858,2011,24,Abu Dhabi Grand Prix
859,2011,18,Brazilian Grand Prix
860,2012,1,Australian Grand Prix
861,2012,2,Malaysian Grand Prix
862,2012,17,Chinese Grand Prix
863,2012,3,Bahrain Grand Prix
864,2012,4,Spanish Grand Prix
865,2012,6,Monaco Grand Prix
866,2012,7,Canadian Grand Prix
867,2012,12,European Grand Prix
868,2012,9,British Grand Prix
869,2012,10,German Grand Prix
870,2012,11,Hungarian Grand Prix
871,2012,13,Belgian Grand Prix
872,2012,14,Italian Grand Prix
873,2012,15,Singapore Grand Prix
874,2012,22,Japanese Grand Prix
875,2012,35,Korean Grand Prix
876,2012,68,Indian Grand Prix
877,2012,24,Abu Dhabi Grand Prix
878,2012,69,United States Grand Prix
879,2012,18,Brazilian Grand Prix
880,2013,1,Australian Grand Prix
881,2013,2,Malaysian Grand Prix
882,2013,17,Chinese Grand Prix
883,2013,3,Bahrain Grand Prix
884,2013,4,Spanish Grand Prix
885,2013,6,Monaco Grand Prix
886,2013,7,Canadian Grand Prix
887,2013,9,British Grand Prix
888,2013,20,German Grand Prix
890,2013,11,Hungarian Grand Prix
891,2013,13,Belgian Grand Prix
892,2013,14,Italian Grand Prix
893,2013,15,Singapore Grand Prix
894,2013,35,Korean Grand Prix
895,2013,22,Japanese Grand Prix
896,2013,68,Indian Grand Prix
897,2013,24,Abu Dhabi Grand Prix
898,2013,69,United States Grand Prix
899,2013,18,Brazilian Grand Prix
900,2014,1,Australian Grand Prix
901,2014,2,Malaysian Grand Prix
902,2014,3,Bahrain Grand Prix
903,2014,17,Chinese Grand Prix
904,2014,4,Spanish Grand Prix
905,2014,6,Monaco Grand Prix
906,2014,7,Canadian Grand Prix
907,2014,70,Austrian Grand Prix
908,2014,9,British Grand Prix
909,2014,10,German Grand Prix
910,2014,11,Hungarian Grand Prix
911,2014,13,Belgian Grand Prix
912,2014,14,Italian Grand Prix
913,2014,15,Singapore Grand Prix
914,2014,22,Japanese Grand Prix
915,2014,71,Russian Grand Prix
916,2014,69,United States Grand Prix
917,2014,18,Brazilian Grand Prix
918,2014,24,Abu Dhabi Grand Prix
931,2015,6,Monaco Grand Prix
932,2015,7,Canadian Grand Prix
929,2015,3,Bahrain Grand Prix
930,2015,4,Spanish Grand Prix
928,2015,17,Chinese Grand Prix
926,2015,1,Australian Grand Prix
927,2015,2,Malaysian Grand Prix
933,2015,70,Austrian Grand Prix
934,2015,9,British Grand Prix
936,2015,11,Hungarian Grand Prix
937,2015,13,Belgian Grand Prix
938,2015,14,Italian Grand Prix
939,2015,15,Singapore Grand Prix
940,2015,22,Japanese Grand Prix
941,2015,71,Russian Grand Prix
942,2015,69,United States Grand Prix
943,2015,32,Mexican Grand Prix
944,2015,18,Brazilian Grand Prix
945,2015,24,Abu Dhabi Grand Prix
948,2016,1,Australian Grand Prix
949,2016,3,Bahrain Grand Prix
950,2016,17,Chinese Grand Prix
951,2016,71,Russian Grand Prix
952,2016,4,Spanish Grand Prix
953,2016,6,Monaco Grand Prix
954,2016,7,Canadian Grand Prix
955,2016,73,European Grand Prix
956,2016,70,Austrian Grand Prix
957,2016,9,British Grand Prix
958,2016,11,Hungarian Grand Prix
959,2016,10,German Grand Prix
960,2016,13,Belgian Grand Prix
961,2016,14,Italian Grand Prix
962,2016,15,Singapore Grand Prix
963,2016,2,Malaysian Grand Prix
964,2016,22,Japanese Grand Prix
965,2016,69,United States Grand Prix
966,2016,32,Mexican Grand Prix
967,2016,18,Brazilian Grand Prix
968,2016,24,Abu Dhabi Grand Prix
969,2017,1,Australian Grand Prix
970,2017,17,Chinese Grand Prix
971,2017,3,Bahrain Grand Prix
972,2017,71,Russian Grand Prix
973,2017,4,Spanish Grand Prix
974,2017,6,Monaco Grand Prix
975,2017,7,Canadian Grand Prix
976,2017,73,Azerbaijan Grand Prix
977,2017,70,Austrian Grand Prix
978,2017,9,British Grand Prix
979,2017,11,Hungarian Grand Prix
980,2017,13,Belgian Grand Prix
981,2017,14,Italian Grand Prix
982,2017,15,Singapore Grand Prix
983,2017,2,Malaysian Grand Prix
984,2017,22,Japanese Grand Prix
985,2017,69,United States Grand Prix
986,2017,32,Mexican Grand Prix
987,2017,18,Brazilian Grand Prix
988,2017,24,Abu Dhabi Grand Prix
989,2018,1,Australian Grand Prix
990,2018,3,Bahrain Grand Prix
991,2018,17,Chinese Grand Prix
992,2018,73,Azerbaijan Grand Prix
993,2018,4,Spanish Grand Prix
994,2018,6,Monaco Grand Prix
995,2018,7,Canadian Grand Prix
996,2018,34,French Grand Prix
997,2018,70,Austrian Grand Prix
998,2018,9,British Grand Prix
999,2018,10,German Grand Prix
1000,2018,11,Hungarian Grand Prix
1001,2018,13,Belgian Grand Prix
1002,2018,14,Italian Grand Prix
1003,2018,15,Singapore Grand Prix
1004,2018,71,Russian Grand Prix
1005,2018,22,Japanese Grand Prix
1006,2018,69,United States Grand Prix
1007,2018,32,Mexican Grand Prix
1008,2018,18,Brazilian Grand Prix
1009,2018,24,Abu Dhabi Grand Prix
1010,2019,1,Australian Grand Prix
1011,2019,3,Bahrain Grand Prix
1012,2019,17,Chinese Grand Prix
1013,2019,73,Azerbaijan Grand Prix
1014,2019,4,Spanish Grand Prix
1015,2019,6,Monaco Grand Prix
1016,2019,7,Canadian Grand Prix
1017,2019,34,French Grand Prix
1018,2019,70,Austrian Grand Prix
1019,2019,9,British Grand Prix
1020,2019,10,German Grand Prix
1021,2019,11,Hungarian Grand Prix
1022,2019,13,Belgian Grand Prix
1023,2019,14,Italian Grand Prix
1024,2019,15,Singapore Grand Prix
1025,2019,71,Russian Grand Prix
1026,2019,22,Japanese Grand Prix
1027,2019,32,Mexican Grand Prix
1028,2019,69,United States Grand Prix
1029,2019,18,Brazilian Grand Prix
1030,2019,24,Abu Dhabi Grand Prix
1031,2020,70,Austrian Grand Prix
1032,2020,70,Styrian Grand Prix
1033,2020,11,Hungarian Grand Prix
1034,2020,9,British Grand Prix
1035,2020,9,70th Anniversary Grand Prix
1036,2020,4,Spanish Grand Prix
1037,2020,13,Belgian Grand Prix
1038,2020,14,Italian Grand Prix
1039,2020,76,Tuscan Grand Prix
1040,2020,71,Russian Grand Prix
1041,2020,20,Eifel Grand Prix
1042,2020,75,Portuguese Grand Prix
1043,2020,21,Emilia Romagna Grand Prix
1044,2020,5,Turkish Grand Prix
1045,2020,3,Bahrain Grand Prix
1046,2020,3,Sakhir Grand Prix
1047,2020,24,Abu Dhabi Grand Prix
1053,2021,21,Emilia Romagna Grand Prix
1074,2022,3,Bahrain Grand Prix
1052,2021,3,Bahrain Grand Prix
1051,2021,78,Qatar Grand Prix
1054,2021,75,Portuguese Grand Prix
1055,2021,4,Spanish Grand Prix
1056,2021,6,Monaco Grand Prix
1057,2021,73,Azerbaijan Grand Prix
1058,2021,70,Styrian Grand Prix
1059,2021,34,French Grand Prix
1060,2021,70,Austrian Grand Prix
1061,2021,9,British Grand Prix
1062,2021,11,Hungarian Grand Prix
1063,2021,13,Belgian Grand Prix
1064,2021,39,Dutch Grand Prix
1065,2021,14,Italian Grand Prix
1066,2021,71,Russian Grand Prix
1067,2021,5,Turkish Grand Prix
1069,2021,69,United States Grand Prix
1070,2021,32,Mexico City Grand Prix
1071,2021,18,São Paulo Grand Prix
1072,2021,77,Saudi Arabian Grand Prix
1073,2021,24,Abu Dhabi Grand Prix
1075,2022,77,Saudi Arabian Grand Prix
1076,2022,1,Australian Grand Prix
1077,2022,21,Emilia Romagna Grand Prix
1078,2022,79,Miami Grand Prix
1079,2022,4,Spanish Grand Prix
1080,2022,6,Monaco Grand Prix
1081,2022,73,Azerbaijan Grand Prix
1082,2022,7,Canadian Grand Prix
1083,2022,9,British Grand Prix
1084,2022,70,Austrian Grand Prix
1085,2022,34,French Grand Prix
1086,2022,11,Hungarian Grand Prix
1087,2022,13,Belgian Grand Prix
1088,2022,39,Dutch Grand Prix
1089,2022,14,Italian Grand Prix
1091,2022,15,Singapore Grand Prix
1092,2022,22,Japanese Grand Prix
1093,2022,69,United States Grand Prix
1094,2022,32,Mexico City Grand Prix
1095,2022,18,São Paulo Grand Prix
1096,2022,24,Abu Dhabi Grand Prix
1098,2023,3,Bahrain Grand Prix
1099,2023,77,Saudi Arabian Grand Prix
1100,2023,1,Australian Grand Prix
1101,2023,73,Azerbaijan Grand Prix
1102,2023,79,Miami Grand Prix
1104,2023,6,Monaco Grand Prix
1105,2023,4,Spanish Grand Prix
1106,2023,7,Canadian Grand Prix
1107,2023,70,Austrian Grand Prix
1108,2023,9,British Grand Prix
1109,2023,11,Hungarian Grand Prix
1110,2023,13,Belgian Grand Prix
1111,2023,39,Dutch Grand Prix
1112,2023,14,Italian Grand Prix
1113,2023,15,Singapore Grand Prix
1114,2023,22,Japanese Grand Prix
1115,2023,78,Qatar Grand Prix
1116,2023,69,United States Grand Prix
1117,2023,32,Mexico City Grand Prix
1118,2023,18,São Paulo Grand Prix
1119,2023,80,Las Vegas Grand Prix
1120,2023,24,Abu Dhabi Grand Prix
1121,2024,3,Bahrain Grand Prix
1122,2024,77,Saudi Arabian Grand Prix
1123,2024,1,Australian Grand Prix
1124,2024,22,Japanese Grand Prix
1125,2024,17,Chinese Grand Prix
1126,2024,79,Miami Grand Prix
1127,2024,21,Emilia Romagna Grand Prix
1128,2024,6,Monaco Grand Prix
1129,2024,7,Canadian Grand Prix
1130,2024,4,Spanish Grand Prix
1131,2024,70,Austrian Grand Prix
1132,2024,9,British Grand Prix
1133,2024,11,Hungarian Grand Prix
1134,2024,13,Belgian Grand Prix
1135,2024,39,Dutch Grand Prix
1136,2024,14,Italian Grand Prix
1137,2024,73,Azerbaijan Grand Prix
1138,2024,15,Singapore Grand Prix
1139,2024,69,United States Grand Prix
1140,2024,32,Mexico City Grand Prix
1141,2024,18,São Paulo Grand Prix
1142,2024,80,Las Vegas Grand Prix
1143,2024,78,Qatar Grand Prix
1144,2024,24,Abu Dhabi Grand Prix
